as modelled                                  found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.1mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.3mm inClaw:0.2deg/1.3mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
no spline parts (all 8 servos case-only)     found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.1mm crank L:0.2deg/0.0mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.2mm inClaw:0.2deg/1.3mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
no splines, no servo hubs                    found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.7mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.2mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.1mm inClaw:0.2deg/0.9mm | FP 0 | ambiguous 5 | drive 4 | non-joint motors 2
no splines, ears+boss only (no neighbours)   found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.1mm crank L:0.2deg/0.0mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.2mm inClaw:0.2deg/1.3mm | FP 0 | ambiguous 8 | drive 4 | non-joint motors 2
no splines, no hubs, no neighbours           found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.7mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.2mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.1mm inClaw:0.2deg/0.9mm | FP 0 | ambiguous 8 | drive 4 | non-joint motors 2
  same, cable-exit cue off too               found 15 | joints right (<3 deg, <5 mm) 6/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.7mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.2mm crank L:0.2deg/19.9mm inY:0.0deg/0.1mm inPiv:0.0deg/19.7mm inX:0.2deg/0.1mm inClaw:0.2deg/18.7mm | FP 0 | ambiguous 8 | drive 4 | non-joint motors 2
robot turned 37 deg about [1,2,3]            found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.3deg/0.0mm outRot:0.1deg/2.9mm outClaw:0.2deg/0.9mm crank R:0.3deg/0.1mm crank L:0.2deg/0.0mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.3mm inClaw:0.2deg/1.0mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
robot turned 71 deg about [-2,1,0.5]         found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.9mm crank R:0.3deg/0.1mm crank L:0.2deg/0.0mm inY:0.0deg/0.2mm inPiv:0.0deg/0.2mm inX:0.2deg/0.3mm inClaw:0.2deg/1.0mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
robot turned 45 deg about [0,0,1]            found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.2deg/0.4mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.1deg/0.1mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.2mm inClaw:0.2deg/1.1mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
all names and the assembly tree stripped     found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.3deg/0.6mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.1mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.2mm inClaw:0.2deg/1.3mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
  same, and no wheel list                    found 15 | joints right (<3 deg, <5 mm) 9/9 | arm:0.3deg/0.6mm outRot:0.1deg/2.8mm outClaw:0.2deg/0.8mm crank R:0.2deg/0.1mm crank L:0.2deg/0.1mm inY:0.0deg/0.1mm inPiv:0.0deg/0.2mm inX:0.2deg/0.2mm inClaw:0.2deg/1.3mm | FP 0 | ambiguous 0 | drive 4 | non-joint motors 2
